epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.21530238926410675,0.17836165694253786,0.8335459183673469,0.8622448979591837
2,0.16859302252531053,0.14772543843303407,0.8673469387755102,0.8596938775510204
3,0.18700382560491563,0.11664777568408422,0.8686224489795918,0.8954081632653061
4,0.17574031114578248,0.117583729326725,0.8813775510204082,0.9260204081632653
5,0.1437214982509613,0.11144041216799191,0.8998724489795918,0.8801020408163265
6,0.14312050372362137,0.09953259463821139,0.9081632653061225,0.9566326530612245
7,0.12573661595582963,0.09122452086635999,0.9215561224489796,0.9617346938775511
8,0.12657359182834627,0.1145222479743617,0.9183673469387755,0.8826530612244898
9,0.1342389838397503,0.07803154044917651,0.920280612244898,0.9693877551020408
10,0.12594956651329994,0.09251548882041659,0.923469387755102,0.9387755102040817
